date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-01-01,20.5,20.2,28.7,0,,199,17.4,,1013,
2016-01-02,20.5,15.7,27.5,0,,179,24,,1014.4,
2016-01-03,20.1,16.2,28.2,0,,144,15.9,,1015.6,
2016-01-04,19.1,14.3,24.5,0,,232,11.9,,1017.7,
2016-01-05,20.4,14.1,25.6,0.2,,79,10.7,,1015.6,
2016-01-06,19.8,15.5,25.3,0,,179,22.6,,1016.9,
2016-01-07,17.9,14.6,23.4,0,,179,22.2,,1020.6,
2016-01-08,18.2,13.4,22.8,0,,,,,,
2016-01-09,18.6,16.1,24.1,0,,178,15.1,,1020.5,
2016-01-10,24.6,15.7,32.1,0,,168,13.9,,1015.6,
2016-01-11,23.1,16.7,38.3,0,,327,14.6,,1009.8,
2016-01-12,21.7,15.1,30.3,0.4,,203,14.2,,,
2016-01-13,28.9,15.3,43.6,0,,343,20.7,,,
2016-01-14,14.3,16.5,18,0.8,,210,27,,1018.5,
2016-01-15,14.4,11.4,19.7,1.4,,185,23.5,,1029,
2016-01-16,18.3,8.7,25,0.6,,188,14.2,,1026.8,
2016-01-17,26.7,12.4,32.8,0,,0,19.4,,1020.1,
2016-01-18,23.9,20.6,36.5,0,,349,26,,1014.3,
2016-01-19,23.9,13.3,33.5,0,,216,12.2,,1011.2,
2016-01-20,22,17.5,31,1.8,,174,15.3,,1009,
2016-01-21,19.5,18.2,27.5,0.8,,202,13,,1009.4,
2016-01-22,19.1,16.5,23.7,0.6,,162,8.8,,,
2016-01-23,18,16.2,22.6,5.4,,187,19,,1012.7,
2016-01-24,18.3,14.7,23.7,0,,195,18,,1014.5,
2016-01-25,18.3,15.3,22.3,1.4,,176,19.6,,1016,
2016-01-26,22.8,14.8,29.6,0,,169,13.5,,,
2016-01-27,23.7,17.8,28.9,0,,3,20.9,,,
2016-01-28,19.3,20.9,30.7,0.2,,16,28.6,,,
2016-01-29,14.3,13,19.1,14.6,,164,11.6,,,
2016-01-30,18,11,22.8,7.8,,207,13.7,,,
2016-01-31,14.9,14.5,20.6,8.8,,1,23.3,,1001.7,
2016-02-01,19.7,9.8,25,0.6,,194,14.1,,1005.5,
2016-02-02,23.5,14.8,32.4,0,,335,15.6,,1003.2,
2016-02-03,17.5,17,21.3,0.2,,203,23.8,,1009.6,
2016-02-04,17.7,16.2,21.3,1.6,,180,25.3,,1018.4,
2016-02-05,20.9,13.5,28.8,0,,194,14.9,,1017.6,
2016-02-06,25.5,13.5,32.5,0,,31,14.7,,977.2,
2016-02-07,22.4,17.2,31.7,0,,200,18.2,,1016.5,
2016-02-08,19.5,15.9,24.3,0,,193,16.8,,1021.5,
2016-02-09,19.9,16.8,26.1,0,,173,15.7,,1019.5,
2016-02-10,20.1,15.5,25.1,0,,200,14.1,,977.2,
2016-02-11,19.7,17.2,25.7,0,,160,18.5,,1016.1,
2016-02-12,22.6,14.6,28.1,0,,178,12.7,,976.1,
2016-02-13,22,16.4,37.5,0,,215,20.6,,1008,
2016-02-14,18.3,12.5,26.7,0.4,,214,20.6,,1011.4,
2016-02-15,19.4,11.6,27.7,0,,251,18.3,,1011.7,
2016-02-16,15.1,13.4,18.8,0.8,,207,26.8,,1015.8,
2016-02-17,17.9,12.8,23.6,0,,207,26.9,,1014.4,
2016-02-18,18.3,14.4,22.9,0.2,,198,14.8,,1011,
2016-02-19,16.4,14.2,23,0,,213,15.8,,1013.6,
2016-02-20,15.8,13.8,22.3,0,,184,19.5,,1021.6,
2016-02-21,20.4,10,28.1,0,,216,12.8,,1022.9,
2016-02-22,25.1,13.6,30.6,0,,355,12.4,,1021,
2016-02-23,29.3,18.3,41.4,0,,356,27.4,,1011.8,
2016-02-24,22.1,23,29.6,0.2,,218,17.2,,1010.4,
2016-02-25,20.1,18.6,29.9,0.4,,210,15.4,,1010.4,
2016-02-26,19.2,12,25.1,0,,220,18,,1018.7,
2016-02-27,18.9,16.5,24.2,0,,184,16,,982.1,
2016-02-28,18.6,15.7,23.9,0,,182,16.9,,1020.4,
2016-02-29,18.5,14,25.1,0,,178,16.8,,1020.2,
2016-03-01,25.1,13,34.5,0,,336,16.2,,1016.3,
2016-03-02,23.6,17.2,37.3,0,,186,17.8,,1016.2,
2016-03-03,19.6,16.4,26.4,0,,177,14.9,,1019.9,
2016-03-04,26,14.8,39.2,0,,322,16.7,,1015.8,
2016-03-05,19.4,19,24.5,0,,200,13.8,,1019.1,
2016-03-06,21.1,15,28.8,0,,198,12.6,,1019.3,
2016-03-07,20.6,17.9,23.9,0,,204,14.9,,,
2016-03-08,32.3,18.7,40.2,0,,354,18.5,,1016.5,
2016-03-09,21.4,21.4,30.7,0,,164,24.5,,1015.9,
2016-03-10,19.2,17.8,20.2,2.4,,180,10.6,,1019.4,
2016-03-11,22.3,17.8,28.3,9.8,,201,10.4,,1016.8,
2016-03-12,19.1,18.4,21.7,0,,192,11.2,,,
2016-03-13,19.2,16.9,24.1,1,,181,12.9,,1019.7,
2016-03-14,16.6,16.6,20.1,0,,194,19.3,,1020.3,
2016-03-15,19.3,13,27.8,0,,173,14.9,,1018.8,
2016-03-16,25.1,13.4,31.7,0,,9,12.6,,1016.1,
2016-03-17,25.3,16.5,33.2,0,,2,31.7,,1008.2,
2016-03-18,14.1,13.7,20.4,8.2,,268,33.2,,1001.1,
2016-03-19,14.6,10.8,19.4,3,,217,22.2,,,
2016-03-20,15.2,10.4,22,1.2,,152,13.5,,1019.5,
2016-03-21,15.9,8.7,22.7,0,,219,15.8,,,
2016-03-22,18.6,9.5,25.9,0,,304,10.9,,1017.8,
2016-03-23,20.9,12.6,29.4,0,,300,17.6,,1016.3,
2016-03-24,16.9,16.6,21.1,0.6,,179,10.6,,1019.6,
2016-03-25,16.2,12.9,21.9,0.2,,220,13.4,,1019.5,
2016-03-26,15.9,11,20.3,0,,229,13,,1019.9,
2016-03-27,13.6,12.9,19.5,0.8,,186,17.8,,1021,
2016-03-28,15.9,7,19.7,0,,160,18.7,,,
2016-03-29,15.4,12.5,18,0,,158,22.4,,1020,
2016-03-30,13.3,13.4,18.3,0,,191,16.7,,,
2016-03-31,17.9,7,24.3,0,,316,11,,,
2016-04-01,21.5,12,27,0,,355,27.2,,,
2016-04-02,13.8,15.1,20.9,0,,229,21.6,,1018.1,
2016-04-03,13.2,8.3,19.8,0,,203,14.6,,,
2016-04-04,16.7,7.7,23.8,0,,231,10.5,,,
2016-04-05,20.6,10.5,29.2,0,,4,21.9,,1011.8,
2016-04-06,11.2,12.4,15.4,8,,251,12.8,,1017,
2016-04-07,14.1,7.4,18.6,3.4,,248,11.7,,1023.5,
2016-04-08,14.2,10.2,20.1,0,,317,10.5,,1022.6,
2016-04-09,16.9,9.1,22.7,0,,313,15.5,,1020.7,
2016-04-10,17.6,11.5,23.5,0,,287,19.2,,1018.8,
2016-04-11,15.7,13.8,20.7,0,,213,18.3,,1021.5,
2016-04-12,14.7,12.6,19.4,0,,209,16.5,,1024.5,
2016-04-13,14.4,11.8,19.7,0,,169,12.3,,1026.6,
2016-04-14,18.3,9.8,28,0,,326,14.5,,1024.5,
2016-04-15,18.8,11.5,28.7,0,,330,17.6,,1020.8,
2016-04-16,14.3,12.4,20.7,0,,214,15.1,,1022,
2016-04-17,13,12,19.3,1.4,,172,16.6,,1022.7,
2016-04-18,19.1,8,25.5,0,,356,17.7,,1018.2,
2016-04-19,20.4,12.3,27.6,0,,353,22.2,,1018.4,
2016-04-20,23.1,15.5,28.7,0,,1,25.3,,1019.7,
2016-04-21,16.9,19.8,24.8,0,,304,21.7,,1019.5,
2016-04-22,13.3,13.1,16.5,17.8,,192,20.9,,1026.7,
2016-04-23,13.1,10.5,18.3,0.2,,206,13,,1029.5,
2016-04-24,14.4,7.9,21.1,0.2,,8,9.9,,1029.9,
2016-04-25,17.1,8.8,25,0,,5,20.9,,1028.1,
2016-04-26,19.4,9,25.7,0,,13,18.9,,,
2016-04-27,21,13.7,23.8,0,,7,31.4,,1018.3,
2016-04-28,19.6,18,23.6,0,,7,21,,1016.8,
2016-04-29,16.9,15.8,19.1,0.8,,3,24.2,,1014.2,
2016-04-30,18.6,15.1,23.4,4.6,,4,28.2,,,
2016-05-01,11.3,13.6,16.6,6.6,,315,29.9,,1009.8,
2016-05-02,14.3,7.3,17.6,0,,355,28.6,,1010.9,
2016-05-03,12.9,10.9,19.6,0,,336,33.1,,1004.1,
2016-05-04,13.9,6.8,17.2,0.8,,339,19.5,,1014.6,
2016-05-05,16.6,10.6,21,0,,9,29.4,,1014.6,
2016-05-06,17.3,13.7,25.1,0,,353,29.3,,1014.8,
2016-05-07,19.1,9.2,25.5,0,,3,25.1,,1015.3,
2016-05-08,17.8,14.4,19.1,4,,21,18.5,,1007.3,
2016-05-09,15.4,14.9,21.3,1.6,,11,36,,995.7,
2016-05-10,13.3,12,16.6,10.6,,281,33.4,,1005.6,
2016-05-11,15.2,10.5,16.8,0,,310,24.4,,1011.7,
2016-05-12,17,12.7,21.7,0,,305,25,,1013.4,
2016-05-13,16.2,13.3,21.5,0,,336,21.1,,1019.9,
2016-05-14,17,12.5,21.1,0,,2,28.6,,1017.6,
2016-05-15,13.2,12.9,21.3,0,,307,21.3,,1015.2,
2016-05-16,15.4,6.3,18.7,0,,0,29.7,,1014.7,
2016-05-17,14,11.1,17.5,0.4,,297,17.7,,1016.6,
2016-05-18,15.2,11.6,19.2,0,,339,19.3,,1016.4,
2016-05-19,14.6,12.3,17.7,0,,320,24,,1014.1,
2016-05-20,11.3,9.1,17.4,1,,,,,,
2016-05-21,14.1,6.3,18.3,0,,3,23.1,,1022.5,
2016-05-22,16.9,10,20.7,0,,10,33.5,,1014.1,
2016-05-23,11.9,11,16.3,0.8,,288,23.9,,1016.5,
2016-05-24,10.9,8.3,15.9,1.6,,286,16.7,,1019.5,
2016-05-25,11.2,7.2,15.8,0,,1,31.5,,1011.2,
2016-05-26,9.1,9.3,11.1,11.4,,304,24.4,,1004.8,
2016-05-27,8.8,6.1,14.6,6.4,,281,14.4,,1007.2,
2016-05-28,10.1,3.1,13.4,0.4,,244,14.4,,1012.3,
2016-05-29,8,8.6,12.7,1.4,,264,17.3,,1020.4,
2016-05-30,7.4,3.9,13.9,0,,16,13,,1026.2,
2016-05-31,8.8,1,16.6,0,,11,13.2,,1028.4,
2016-06-01,8.9,3.8,16,0,,355,10.7,,1027.3,
2016-06-02,9.1,2.4,13.2,0,,301,11.5,,1026.2,
2016-06-03,10.8,6.2,14,0,,,5,,1023.1,
2016-06-04,12.1,8.4,14.3,5.4,,,6.6,,1013.3,
2016-06-05,11.3,10.3,14,4,,346,8.2,,1004,
2016-06-06,10.6,6.6,13.2,5,,357,20.5,,1001.5,
2016-06-07,11.5,8.2,14.2,0,,299,16.6,,1002.6,
2016-06-08,12,7.2,13.5,1.6,,0,29.3,,1004.7,
2016-06-09,11.8,9.8,17.3,1,,319,22.3,,1004.3,
2016-06-10,10.7,7.3,15.1,0.4,,317,19.8,,1017.1,
2016-06-11,7.7,6,12.7,5.4,,277,20.5,,1026.2,
2016-06-12,7.5,4.1,13.4,0.4,,311,11.2,,1036.1,
2016-06-13,9.8,3.4,12.8,0,,2,27.8,,1034.3,
2016-06-14,9.8,6.8,14.5,0,,359,25.3,,1033.6,
2016-06-15,10.7,6.2,17.5,0,,356,18.6,,1029.6,
2016-06-16,11.9,6.9,13.3,0,,6,32,,1017.4,
2016-06-17,12.1,8.3,14.4,3.2,,347,15.7,,1012.1,
2016-06-18,8.8,9.3,11.7,16.6,,181,13.8,,1019.8,
2016-06-19,11.3,5.2,12.4,0.2,,253,8.8,,1015.5,
2016-06-20,10.8,8.9,12.4,7,,197,20.9,,1004.7,
2016-06-21,10.8,7.8,14.1,5.2,,341,24.2,,999.2,
2016-06-22,11.7,8.4,14.9,0.2,,320,22.7,,1003.9,
2016-06-23,8.8,8.9,13.5,0,,349,30.1,,1000.8,
2016-06-24,5.4,4.6,9.6,10.4,,289,24.5,,1007.6,
2016-06-25,6.6,1.7,11.9,0,,270,13.6,,1021.6,
2016-06-26,7.1,2.2,10.2,0,,358,21.4,,1018.5,
2016-06-27,8,4.9,10.4,0.2,,356,18.8,,1017.9,
2016-06-28,10.8,4.8,15.9,0.2,,347,23.4,,1023.7,
2016-06-29,10.8,7.2,15,0,,0,25.3,,1023,
2016-06-30,8.3,8.3,10.3,0,,0,33.2,,1010.1,
2016-07-01,10.9,5.7,13.1,3.6,,275,20.3,,1019.3,
2016-07-02,12.1,9.1,15.1,0,,325,18.5,,1024.5,
2016-07-03,11.8,8.6,16.2,0,,348,24.4,,1022,
2016-07-04,9.3,9.3,11.6,0,,10,20.8,,1015.6,
2016-07-05,10.5,6.8,11.9,2,,202,15,,1012.3,
2016-07-06,10.6,8,11.8,24,,188,26.1,,1018.2,
2016-07-07,10.1,9.7,12.2,10.6,,190,12.1,,1021.5,
2016-07-08,9.4,7.3,15.5,0.6,,334,7.9,,982.8,
2016-07-09,9.8,4.2,14.6,0,,22,9,,1023.4,
2016-07-10,11.2,5.6,12.4,0,,10,31.8,,1015.1,
2016-07-11,12.2,10.4,14.7,3,,357,34.3,,1002.5,
2016-07-12,6.7,9.7,12.7,0,,331,33.8,,999.7,
2016-07-13,7.8,3.1,10.8,0.8,,282,29.9,,1017.9,
2016-07-14,9.7,4.1,12.7,0,,326,19.3,,1028.1,
2016-07-15,9.6,6.4,12.9,0,,300,13.6,,1031,
2016-07-16,7.9,4.1,14,0,,343,8.3,,1031.1,
2016-07-17,12.4,2.1,15.1,0,,6,29.6,,1024.8,
2016-07-18,13.8,9,18.7,0,,356,30.7,,1018.8,
2016-07-19,11.4,10.9,15.2,0,,331,9.9,,1021.2,
2016-07-20,9.9,7.9,15.1,1,,313,6.5,,1021.6,
2016-07-21,14.7,5.6,17.5,2.6,,6,24.3,,970.8,
2016-07-22,11.2,11.8,17.3,8.4,,333,30,,996.4,
2016-07-23,6,6,10.6,1.2,,277,26.6,,1006.4,
2016-07-24,7.9,2.2,11.4,0.4,,357,27.8,,1007.9,
2016-07-25,8.7,4.9,13.5,0,,334,27.4,,1006.6,
2016-07-26,8.4,4.4,10.2,2.6,,346,26.2,,1009.5,
2016-07-27,8.4,6.4,11.7,0.2,,286,21.8,,1015.3,
2016-07-28,10.8,4.8,15.3,0,,337,18.5,,1023,
2016-07-29,10.6,7.7,14.2,0,,347,21,,1021,
2016-07-30,11.1,7.3,13.7,2.2,,1,32.1,,1017.6,
2016-07-31,12.6,8.7,16.1,0.2,,0,24.5,,1014.6,
2016-08-01,9.2,10.3,13.2,2.6,,348,25.8,,1011.6,
2016-08-02,9.4,4.6,12.3,9,,204,18,,1020.8,
2016-08-03,7.9,6.8,12.4,2,,206,15.8,,1026.6,
2016-08-04,7.2,3.2,13.4,0.6,,227,12.3,,1030.1,
2016-08-05,8.3,2.5,15,0,,342,11.1,,1030.6,
2016-08-06,10,3.6,13.5,0,,22,9.1,,1027.6,
2016-08-07,9.2,5.8,15.6,0,,15,11.5,,1025.6,
2016-08-08,10.8,3.7,13.1,0,,5,31.6,,1020.8,
2016-08-09,12.4,8.9,16.8,0,,2,49.8,,1010.2,
2016-08-10,9.4,7.3,14.8,0.4,,341,27.2,,1009.7,
2016-08-11,9.8,4,14.1,3.6,,322,20,,1018.8,
2016-08-12,9.6,4.8,13.8,0,,358,27.2,,1018.9,
2016-08-13,11.2,5.5,14.7,0.8,,348,21.7,,1021.1,
2016-08-14,11.9,6.6,16.8,0,,331,14.8,,1027,
2016-08-15,12.2,7,17.3,0,,3,21,,1028.7,
2016-08-16,13.8,8.6,18,0,,5,27.5,,1022.8,
2016-08-17,10.7,10.8,15,0.4,,234,15.5,,1021.6,
2016-08-18,16.6,4.9,20.1,0,,7,34,,1014.6,
2016-08-19,8.5,13.5,15.8,0,,358,27.4,,1007.4,
2016-08-20,10.4,4.9,12.6,5.6,,321,22,,1012,
2016-08-21,10.7,8.2,14.1,0.6,,349,17.4,,1014,
2016-08-22,9.6,8.6,16.4,1.6,,1,16.7,,1013.8,
2016-08-23,7.2,5.5,13.7,1.6,,220,9.8,,1016.8,
2016-08-24,8.1,1.6,13.2,0.2,,224,11,,,
2016-08-25,8.2,4.5,12.9,0,,243,17.1,,,
2016-08-26,9.8,4.5,13,0,,287,15.3,,1021.1,
2016-08-27,11.1,4.8,15.4,0,,347,20.3,,1020.4,
2016-08-28,11.8,8.1,18.5,0,,359,26.6,,1019.9,
2016-08-29,13.4,7.3,18.6,0,,9,25.2,,1022.4,
2016-08-30,13.3,8,16.9,0,,14,26.7,,1016.9,
2016-08-31,14.1,11.4,19.5,0,,319,20.4,,1013.6,
2016-09-01,11.3,9.1,15,0.8,,237,7.9,,1016.5,
2016-09-02,10.9,8.9,13.5,4.4,,184,13.4,,1010,
2016-09-03,11.1,8.1,14.4,1,,244,17.3,,1009.1,
2016-09-04,13.2,6.8,16.5,0.2,,298,17,,1023,
2016-09-05,13.1,10,18,0.2,,343,11.7,,1028.3,
2016-09-06,13.2,8.6,20.7,0,,331,15.9,,1028.5,
2016-09-07,15.7,7.1,20.3,0,,357,20.8,,1026.4,
2016-09-08,18.1,12.3,22.4,0,,10,36.8,,1018.1,
2016-09-09,12.6,14.2,15.4,0.8,,356,23.5,,1009.9,
2016-09-10,10.1,9.2,13.8,12.8,,213,17.1,,1016.3,
2016-09-11,11.6,6.6,16.6,1.2,,346,15.8,,1018.4,
2016-09-12,10.3,8.7,13.7,1.6,,232,9.6,,1020.5,
2016-09-13,11.6,8.9,13.1,11.8,,88,9.8,,1016.2,
2016-09-14,10.2,9.6,15,20,,21,23.6,,1004.6,
2016-09-15,10.6,6.7,14.2,3.2,,275,21.7,,1008.4,
2016-09-16,11.7,7.1,15.7,1.4,,309,14,,1016.8,
2016-09-17,14.3,9.3,19,0.2,,4,30.7,,1015.3,
2016-09-18,8.7,9.3,11.7,0.2,,231,17.5,,1011.2,
2016-09-19,10.8,5.1,15.3,2.8,,283,13.1,,1012.5,
2016-09-20,13.1,6.5,18.7,0,,7,24,,1013.2,
2016-09-21,11.6,9.6,15.7,2.6,,175,14,,1010.8,
2016-09-22,9.5,8.3,12.3,2,,208,21.4,,1016.9,
2016-09-23,11.8,7,18,0.2,,258,7.1,,1013.9,
2016-09-24,13.2,7.1,19.4,0,,1,23.4,,1007.7,
2016-09-25,10.2,6.5,15.3,11.4,,240,16,,1011.2,
2016-09-26,10.2,7,16.7,0,,333,12.6,,1011,
2016-09-27,10.4,4.4,15.5,8.6,,297,15.8,,1011.5,
2016-09-28,14.2,6.8,17.8,1.6,,9,29.6,,1005.6,
2016-09-29,10.4,11.5,16.2,4.4,,15,27.7,,988.9,
2016-09-30,11.8,6.3,15.2,1.8,,324,14.6,,992.9,
2016-10-01,13.2,8.9,17.7,2,,311,22.3,,1003.3,
2016-10-02,15.4,10.3,22.1,0,,5,47.2,,999.6,
2016-10-03,12.1,8.1,15.6,11.4,,327,25.6,,996.4,
2016-10-04,9.9,9.4,16.6,0.4,,309,32.1,,1002.3,
2016-10-05,12.7,5.9,16,2.8,,328,23.9,,1013.6,
2016-10-06,20.1,8.3,25,0.2,,342,27.2,,1015.3,
2016-10-07,12.8,14.4,20.9,0,,3,29.1,,1013.8,
2016-10-08,12.4,5.9,16.7,0.2,,199,13.3,,1020.1,
2016-10-09,15.2,6.7,20.3,0,,359,43.5,,1007.1,
2016-10-10,9.1,10.9,16,0.6,,292,22.9,,1009.1,
2016-10-11,10.8,5.2,14.9,3.8,,258,22.5,,1016.3,
2016-10-12,9.1,7.9,16.1,0.2,,241,20.3,,1018.5,
2016-10-13,9,4,14.8,3.2,,204,13.3,,1024.9,
2016-10-14,15.1,2.2,21.7,0,,360,15.5,,1022.3,
2016-10-15,18.9,9.1,23.6,0,,3,36.3,,1012.2,
2016-10-16,12.9,14.1,21.4,0,,341,34,,1002.2,
2016-10-17,13.4,6.2,18.4,7.6,,293,20.5,,1007.5,
2016-10-18,8.3,9.5,16.1,0.6,,296,20.5,,1010.4,
2016-10-19,11.1,3.2,15.9,3.4,,317,13.4,,1019.3,
2016-10-20,16.9,5.9,21.1,0,,5,38,,1015.4,
2016-10-21,8.6,12.3,16.3,0,,311,31.3,,1012,
2016-10-22,8.1,4.7,11.9,13.2,,226,26.3,,1019.7,
2016-10-23,9.9,5.7,13.2,24.8,,210,20.4,,1024.9,
2016-10-24,13,8.2,17.8,0.6,,212,10.6,,1019.8,
2016-10-25,18.9,8.4,24.1,0,,356,32.4,,1011.6,
2016-10-26,11.3,14,19.3,0,,252,17.8,,1012.1,
2016-10-27,9.8,7.3,15.7,1.8,,204,18.4,,1019.9,
2016-10-28,12,3.4,17.4,0,,209,12.3,,1019,
2016-10-29,19.7,6.9,24.4,0,,354,13.9,,1014,
2016-10-30,13.3,11.6,26,0,,325,34.9,,1001.5,
2016-10-31,11.4,6.1,17.1,0.6,,285,25,,1011.9,
2016-11-01,11.9,5.5,18.7,0.2,,301,20.3,,1011.4,
2016-11-02,12.8,5.1,18.8,1.4,,267,15.7,,1015.6,
2016-11-03,14.3,6.8,21.5,0,,277,12.3,,1017.6,
2016-11-04,17.6,7.4,28.3,0,,326,29.9,,1008.1,
2016-11-05,12.8,8.6,16.5,0,,246,30.5,,1010.4,
2016-11-06,17.3,10.4,21.7,0,,272,23.2,,1009.9,
2016-11-07,15.4,13.6,25.4,0,,338,29.9,,1004,
2016-11-08,13.2,8,18.5,0.6,,188,16.5,,1010.8,
2016-11-09,13,7.8,18.6,0,,181,16.1,,1012.4,
2016-11-10,11.8,8.4,18.1,0,,198,13.2,,1011.9,
2016-11-11,16.3,5,21.9,0,,201,13.4,,1009.2,
2016-11-12,16.8,11.3,24.3,3.8,,341,22.9,,997.6,
2016-11-13,12.6,10.4,19.1,2.2,,314,25.1,,995.5,
2016-11-14,12.3,9.5,16.6,11.2,,211,28.5,,1011.3,
2016-11-15,13.3,8.6,18.9,0,,228,18.4,,1019.1,
2016-11-16,15.9,8.3,21.6,0,,207,12.9,,1022.3,
2016-11-17,21.9,10.2,30.9,0,,356,24.7,,1016.3,
2016-11-18,13.9,13.8,20.1,0,,180,14.2,,1016.3,
2016-11-19,15.4,10.1,22.1,0,,184,10.9,,1019.4,
2016-11-20,26.3,9.6,33.8,0,,4,14.4,,1015.2,
2016-11-21,22.4,16.9,34.3,0,,352,32.3,,1009.1,
2016-11-22,12.3,13.3,13.9,8.2,,169,12.2,,1014.6,
2016-11-23,10.7,10.4,16.4,8,,187,17.6,,1016,
2016-11-24,12.6,7.5,18.1,3.2,,225,19.5,,979.3,
2016-11-25,13.1,8.6,17.8,0,,218,20.7,,1018.4,
2016-11-26,13.6,8.9,18.9,0,,209,20.5,,1020.4,
2016-11-27,14.2,10.8,18.5,0,,187,15.3,,1018.8,
2016-11-28,14.9,12.1,21.1,1,,167,11.4,,1014.6,
2016-11-29,15.4,9.6,22.4,0,,174,13.6,,1012,
2016-11-30,15,10.1,20.4,0,,209,15.1,,1009.4,
2016-12-01,16.7,9.1,24.6,0,,186,10.8,,1007.4,
2016-12-02,14.4,10.8,22.7,0,,214,15.6,,1011.8,
2016-12-03,17.2,6.5,23.2,0,,197,11.6,,1014.5,
2016-12-04,23.3,9.1,31.7,0,,354,22.3,,1008.2,
2016-12-05,16.2,15.7,22.1,1,,200,25.2,,1010.2,
2016-12-06,14.2,11.4,21.2,0,,171,12.8,,1013.6,
2016-12-07,22.1,7.1,28.4,0,,4,12.8,,1011.7,
2016-12-08,14.4,15.1,23.4,3.2,,315,39.1,,1000.5,
2016-12-09,13.3,8.2,18.3,2.2,,212,24.6,,1016.4,
2016-12-10,14.9,10.9,19.3,0,,193,15.8,,1022.6,
2016-12-11,14.7,11.7,20.9,1.4,,177,15.3,,1022.5,
2016-12-12,25.7,7.8,33,0,,343,15.5,,1016.8,
2016-12-13,24.6,16.4,35.9,0,,345,27.7,,1007,
2016-12-14,14.2,14.5,19.9,0,,194,25.6,,1012.4,
2016-12-15,13.9,9,19.7,0,,181,21.3,,1017.3,
2016-12-16,18.3,7.9,24.1,0,,327,17.8,,1009,
2016-12-17,13.6,12.6,21.5,0,,246,25.6,,1010.6,
2016-12-18,13.3,6.7,18.6,0,,195,19.7,,1020.6,
2016-12-19,22.9,5.5,30.9,0,,350,24.5,,1011.5,
2016-12-20,16.4,13.8,23.2,2.4,,217,20.6,,1007.5,
2016-12-21,15.9,9.6,20.4,0,,209,20.8,,1016.6,
2016-12-22,16.6,13.8,22,0,,169,18.8,,1018.5,
2016-12-23,22.6,11.7,32,0,,228,15.5,,1012.5,
2016-12-24,24.6,14.6,34.9,1.4,,353,18.4,,1010.2,
2016-12-25,30.5,13.5,36.6,0,,10,20.5,,1010.6,
2016-12-26,19.4,25.5,30,0,,202,24.1,,1009,
2016-12-27,24.1,16.7,28,1.6,,72,11.7,,1010,
2016-12-28,30.2,18.7,38.2,1.4,,2,31.5,,1001.3,
2016-12-29,23.8,24.9,34.7,0,,8,23.4,,1002,
2016-12-30,21,19.2,31.2,62.8,,201,15.8,,1000.9,
2016-12-31,19.6,16,25.2,0,,195,14.9,,1005.5,
2017-01-01,16.2,15.6,21.8,0.4,,181,15.5,,1007.6,
2017-01-02,15.6,12.9,19.3,2,,199,23.1,,1017,
2017-01-03,17.4,13.3,21.2,0.6,,182,17.6,,1020.1,
2017-01-04,23.7,14.7,30.2,0,,232,15.3,,1016.3,
2017-01-05,23.1,17.3,33.8,0,,294,18,,1014.8,
2017-01-06,27,16.2,34.4,0,,175,10.7,,1014.2,
2017-01-07,30.8,18.5,36.8,0,,5,21.7,,1009.8,
2017-01-08,21.5,26,34.7,0,,86,26.9,,1006.8,
2017-01-09,19.5,17.3,24,0,,170,12.4,,1011.4,
2017-01-10,20.7,16.5,29.6,0,,215,14.9,,1010.4,
2017-01-11,17.9,14.4,26.9,0,,204,17.7,,1011.1,
2017-01-12,22.7,11.2,29,0,,201,11.8,,1010.3,
2017-01-13,18.8,16.7,29.9,1,,328,19.2,,1000.1,
2017-01-14,16.9,11.7,24.3,4,,255,23.9,,1009.9,
2017-01-15,16.7,11,22.6,0,,201,15.5,,1017.5,
2017-01-16,26,11.9,33.4,0,,360,8,,1013.1,
2017-01-17,25.1,16.7,38.3,0,,318,22.1,,1007.3,
2017-01-18,15.7,13.9,21.2,0.4,,182,24.2,,1013.7,
2017-01-19,19.1,8.9,25.8,0,,177,13.3,,1009.9,
2017-01-20,16.2,15.1,21,16.6,,223,26.1,,1001.6,
2017-01-21,16.7,13.3,22.2,0,,186,17.8,,1014.1,
2017-01-22,23.6,10.9,30.1,0,,179,11.4,,1013.4,
2017-01-23,26.1,16.7,37.4,0,,345,18.8,,1005,
2017-01-24,17,17.5,23.8,0.6,,203,26.2,,1013.1,
2017-01-25,17.9,10,23.3,0,,177,16.7,,1019.3,
2017-01-26,17.9,13.2,21.5,0,,182,18.5,,1018.5,
2017-01-27,19.1,15.9,25.7,0,,159,13.8,,1015.5,
2017-01-28,20.7,12.5,31.3,0,,233,16.9,,1013.9,
2017-01-29,22.8,14,28.9,0,,159,11.2,,1014.8,
2017-01-30,21.7,16.4,30.7,0,,333,23.7,,1006.9,
2017-01-31,17.5,15.4,22.6,0,,191,20.5,,1013.8,
2017-02-01,16.4,11.4,21,0,,151,11.2,,1014.3,
2017-02-02,18.2,10.1,26.4,0,,235,16.8,,1015.2,
2017-02-03,19.1,12.7,28.4,0,,251,11.1,,1014.2,
2017-02-04,25.5,11.6,36.5,0,,320,16.8,,1009.5,
2017-02-05,21.7,17,30.9,0,,335,19.1,,1007,
2017-02-06,15.4,14.1,17.2,25.6,,165,20.5,,1015.5,
2017-02-07,20.3,14.2,26.7,0,,175,17.2,,1019.4,
